date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:36	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://themewagon.github.io/robots.txt		(from )
10:14:36	37906/37906	---M-Z	200	added ('OK')	text/html	etag:W/%22639fee36-9412%22	https://themewagon.github.io/clyde/	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/index.html	(from )
10:14:36	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/DELL/Documents/website/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://themewagon.github.io/clyde/)
10:14:37	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-11fa9%22	https://themewagon.github.io/clyde/css/animate.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/animate.css	(from https://themewagon.github.io/clyde/)
10:14:37	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-d70%22	https://themewagon.github.io/clyde/css/owl.carousel.min.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/owl.carousel.min.css	(from https://themewagon.github.io/clyde/)
10:14:37	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-3c5%22	https://themewagon.github.io/clyde/css/owl.theme.default.min.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/owl.theme.default.min.css	(from https://themewagon.github.io/clyde/)
10:14:37	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-1b26%22	https://themewagon.github.io/clyde/css/magnific-popup.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/magnific-popup.css	(from https://themewagon.github.io/clyde/)
10:14:37	1858/1858	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-742%22	https://themewagon.github.io/clyde/css/flaticon.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/flaticon.css	(from https://themewagon.github.io/clyde/)
10:14:38	265261/265261	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-40c2d%22	https://themewagon.github.io/clyde/css/style.css	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/css/style.css	(from https://themewagon.github.io/clyde/)
10:14:38	37906/37906	---M-Z	200	added ('OK')	text/html	etag:W/%22639fee36-9412%22	https://themewagon.github.io/clyde/index.html	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/index-2.html	(from https://themewagon.github.io/clyde/)
10:14:38	348360/348360	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-550c8%22	https://themewagon.github.io/clyde/images/bg_1.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/bg_1.jpg	(from https://themewagon.github.io/clyde/)
10:14:38	194287/194287	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-2f6ef%22	https://themewagon.github.io/clyde/images/bg_2.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/bg_2.jpg	(from https://themewagon.github.io/clyde/)
10:14:38	180543/180543	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-2c13f%22	https://themewagon.github.io/clyde/images/about-1.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/about-1.jpg	(from https://themewagon.github.io/clyde/)
10:14:39	135496/135496	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-21148%22	https://themewagon.github.io/clyde/images/work-1.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-1.jpg	(from https://themewagon.github.io/clyde/)
10:14:39	1596456/1596456	---M--	200	added ('OK')	image/png	etag:%22639fee36-185c28%22	https://themewagon.github.io/clyde/images/author.png	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/author.png	(from https://themewagon.github.io/clyde/)
10:14:40	131529/131529	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-201c9%22	https://themewagon.github.io/clyde/images/work-2.jpg	C:/Users/DELL/Documents/website/themewagon.github.io/clyde/images/work-2.jpg	(from https://themewagon.github.io/clyde/)
